year,month,day,DOY,DOCugCcm3
2012,4,20,111,389.8024571
2012,4,20,111,440.5005831
2012,4,20,111,461.7749692
2012,4,20,111,551.5269798
2012,4,20,111,646.9593655
2012,4,20,111,829.5421689
2012,4,20,111,429.587989
2012,4,20,111,190.0768549
2012,4,20,111,155.3431578
2012,4,20,111,628.4043727
2012,4,20,111,789.7205213
2012,4,20,111,577.9269936
2012,4,20,111,864.6824602
2012,4,20,111,1231.223707
2012,4,20,111,639.2148327
2012,4,20,111,346.8776704
2012,4,20,111,370.4375916
2012,4,20,111,943.3478642
2012,5,23,144,473.3151232
2012,5,23,144,534.7280821
2012,5,23,144,371.5514511
2012,5,23,144,434.2512283
2012,5,23,144,387.5362869
2012,5,23,144,275.2175324
2012,5,23,144,195.6028818
2012,5,23,144,189.1314285
2012,5,23,144,160.4818645
2012,5,23,144,837.6559342
2012,5,23,144,753.0019939
2012,5,23,144,378.4681465
2012,5,23,144,720.1418256
2012,5,23,144,687.2212875
2012,5,23,144,454.7271174
2012,5,23,144,551.7413806
2012,5,23,144,654.1834927
2012,5,23,144,854.3459283
2012,8,2,215,477.8540519
2012,8,2,215,250.7580691
2012,8,2,215,396.705137
2012,8,2,215,363.7287953
2012,8,2,215,319.3394115
2012,8,2,215,334.7693751
2012,8,2,215,350.7910498
2012,8,2,215,237.7429561
2012,8,2,215,262.3321454
2012,8,2,215,419.081221
2012,8,2,215,339.5394696
2012,8,2,215,444.2000502
2012,8,2,215,387.2629974
2012,8,2,215,274.9195996
2012,8,2,215,762.9814826
2012,8,2,215,397.3216429
2012,8,2,215,319.1941452
2012,8,2,215,174.0670935
2012,10,26,270,308.6758551
2012,10,26,270,314.9680961
2012,10,26,270,318.1413176
2012,10,26,270,319.7710596
2012,10,26,270,330.8242007
2012,10,26,270,216.7094265
2012,10,26,270,241.9079378
2012,10,26,270,270.8725451
2012,10,26,270,267.2882052
2012,10,26,270,202.7548658
2012,10,26,270,334.9999954
2012,10,26,270,405.8663306
2012,10,26,270,407.5980103
2012,10,26,270,293.7434634
2012,10,26,270,511.2529302
2012,10,26,270,660.0918312
2012,10,26,270,295.8614926
2012,10,26,270,741.3093337
2013,4,20,110,358.3104351
2013,4,20,110,579.475237
2013,4,20,110,719.6657805
2013,4,20,110,399.1229278
2013,4,20,110,422.2074525
2013,4,20,110,331.3853663
2013,4,20,110,289.2595932
2013,4,20,110,215.7695943
2013,4,20,110,253.2517199
2013,4,20,110,656.5234053
2013,4,20,110,561.0154536
2013,4,20,110,499.4693727
2013,4,20,110,430.8153219
2013,4,20,110,537.0554339
2013,4,20,110,532.0580765
2013,4,20,110,945.805052
2013,4,20,110,350.4557099
2013,4,20,110,631.1797955
2013,5,16,136,305.4920858
2013,5,16,136,137.9043133
2013,5,16,136,185.2370241
2013,5,16,136,223.2458358
2013,5,16,136,395.0323482
2013,5,16,136,308.6783534
2013,5,16,136,163.9671273
2013,5,16,136,188.1007479
2013,5,16,136,139.0382703
2013,5,16,136,329.9399695
2013,5,16,136,548.7787115
2013,5,16,136,619.9442635
2013,5,16,136,496.078299
2013,5,16,136,371.1140396
2013,5,16,136,555.2207124
2013,5,16,136,419.6474662
2013,5,16,136,488.8109625
2013,5,16,136,652.5475128
2013,8,18,230,383.5384163
2013,8,18,230,583.2171521
2013,8,18,230,315.0142288
2013,8,18,230,366.0335799
2013,8,18,230,371.3009898
2013,8,18,230,282.393702
2013,8,18,230,250.9567691
2013,8,18,230,148.5155654
2013,8,18,230,243.6928346
2013,8,18,230,438.6677234
2013,8,18,230,417.4417645
2013,8,18,230,541.3575023
2013,8,18,230,622.6804963
2013,8,18,230,662.0696148
2013,8,18,230,557.8476094
2013,8,18,230,582.6455929
2013,8,18,230,688.0905593
2013,8,18,230,2605.512717
2013,10,2,275,331.7254434
2013,10,2,275,300.8701113
2013,10,2,275,477.472476
2013,10,2,275,343.4437302
2013,10,2,275,425.9460982
2013,10,2,275,408.1412954
2013,10,2,275,296.4928907
2013,10,2,275,271.6025765
2013,10,2,275,200.7766825
2013,10,2,275,673.8626685
2013,10,2,275,598.5464884
2013,10,2,275,618.9647321
2013,10,2,275,683.3220674
2013,10,2,275,581.7553792
2013,10,2,275,595.8256078
2013,10,2,275,799.5413251
2013,10,2,275,404.8742505
2013,10,2,275,386.545066
