year,month,day,DOY,biomassCugCcm3
1995,NA,NA,NA,455.564402
1995,NA,NA,NA,0.967368
1995,NA,NA,NA,564.810346
2012,6,NA,NA,324.4121993
2012,7,NA,NA,415.1185004
2012,7,NA,NA,396.3837823
2012,8,NA,NA,183.6890913
2011,7,NA,NA,823.851427
2011,7,NA,NA,644.2580798
2012,6,NA,NA,308.4312611
2012,8,NA,NA,126.436167
2012,9,NA,NA,225.3142817
2012,6,NA,NA,162.7018866
2012,8,NA,NA,172.4988405
2012,8,NA,NA,94.32676843
2012,9,NA,NA,137.8731561
2012,7,NA,NA,129.7565704
2012,7,NA,NA,162.858526
2012,9,NA,NA,120.95424
2011,7,NA,NA,307.9269606
2011,7,NA,NA,247.9307671
2012,6,NA,NA,157.9987289
2012,6,NA,NA,87.95629275
2012,6,NA,NA,69.24157961
2012,7,NA,NA,108.8114561
2011,7,NA,NA,302.4086419
2011,7,NA,NA,356.7850779
2012,7,NA,NA,194.3215666
2012,8,NA,NA,97.18744338
2012,8,NA,NA,128.2030947
2012,9,NA,NA,148.6060343
2012,9,NA,NA,106.7860021
2012,6,NA,NA,92.24906427
2012,6,NA,NA,60.41516236
2012,7,NA,NA,114.4138685
2012,7,NA,NA,67.98097536
2012,8,NA,NA,48.12529144
2012,8,NA,NA,64.60194677
2012,9,NA,NA,92.13508927
2012,9,NA,NA,63.95692517
2011,7,NA,NA,199.4429428
2011,7,NA,NA,170.4862174
2012,7,NA,NA,919.1246776
2012,7,NA,NA,542.7142384
2012,8,NA,NA,1007.508434
2012,8,NA,NA,1006.360798
2012,9,NA,NA,733.8626958
2011,7,NA,NA,-168.5865188
2012,6,NA,NA,581.6372109
2012,6,NA,NA,1436.630894
2012,9,NA,NA,967.1385649
2011,7,NA,NA,2306.827696
2012,6,NA,NA,515.9464014
2012,7,NA,NA,498.4984261
2012,8,NA,NA,680.9739638
2012,9,NA,NA,390.1200351
2011,7,NA,NA,1270.418098
2012,6,NA,NA,483.9296558
2012,7,NA,NA,581.9945924
2012,8,NA,NA,485.6333227
2012,9,NA,NA,740.5858141
2011,7,NA,NA,1499.013511
2011,7,NA,NA,1052.200079
2011,7,NA,NA,1177.285797
2011,7,NA,NA,1430.754128
2011,7,NA,NA,1609.806414
2011,7,NA,NA,1090.681344
2011,7,NA,NA,1343.412402
2011,7,NA,NA,1419.099371
2011,7,NA,NA,1266.111244
2012,6,NA,NA,343.9902488
2012,7,NA,NA,348.5265971
2012,6,NA,NA,276.253784
2012,7,NA,NA,327.941505
2012,8,NA,NA,360.7790266
2012,8,NA,NA,246.6708757
2012,9,NA,NA,459.7027001
2012,9,NA,NA,399.4777875
2011,7,NA,NA,1029.440223
2011,7,NA,NA,731.4127194
2012,6,NA,NA,343.8632782
2012,7,NA,NA,317.6034046
2012,8,NA,NA,374.9773686
2012,8,NA,NA,279.9309826
2012,9,NA,NA,284.725094
2011,7,NA,NA,578.61247
2011,7,NA,NA,627.7375093
2012,6,NA,NA,351.4140359
2012,7,NA,NA,295.9349015
2012,9,NA,NA,312.8836744
2011,7,NA,NA,3151.381216
2011,7,NA,NA,2628.172306
2011,7,NA,NA,2235.302918
2011,7,NA,NA,2183.576471
2011,7,NA,NA,1994.135808
2011,7,NA,NA,1972.363444
2011,7,NA,NA,1929.331877
2011,7,NA,NA,1350.696047
2011,7,NA,NA,1169.45604
2011,7,NA,NA,1114.522667
2012,6,NA,NA,1066.692494
1995,NA,NA,NA,1060.84513
2011,7,NA,NA,1034.846967
2012,9,NA,NA,1026.676686
2012,6,NA,NA,993.7524583
2012,7,NA,NA,979.7087202
2011,7,NA,NA,955.3257441
2012,6,NA,NA,916.5153179
2012,9,NA,NA,871.1045073
2012,6,NA,NA,827.7112772
2012,6,NA,NA,818.2735812
2012,5,23,144,797.6757251
2012,6,NA,NA,788.7811491
2012,6,NA,NA,769.7405898
2012,7,NA,NA,737.4288559
2012,6,NA,NA,733.4675372
2012,7,NA,NA,680.7637423
2012,6,NA,NA,669.1939007
2012,9,NA,NA,656.6974726
2012,6,NA,NA,653.9101303
2012,6,NA,NA,649.7671816
2012,7,NA,NA,647.470847
2012,7,NA,NA,641.925167
2012,9,NA,NA,631.6094987
2012,6,NA,NA,611.4403656
2012,9,NA,NA,604.2517971
2012,6,NA,NA,603.3694622
2012,9,NA,NA,592.6049983
2012,9,NA,NA,592.0709171
2012,6,NA,NA,583.6963471
2012,7,NA,NA,566.3351357
2012,7,NA,NA,557.3641317
2012,7,NA,NA,533.8938783
2012,5,23,144,529.7733891
2012,5,23,144,517.7218856
2012,7,NA,NA,471.426529
2012,9,NA,NA,468.3338826
2012,6,NA,NA,467.2700419
2012,8,NA,NA,464.7456892
2012,7,NA,NA,456.824705
2012,7,NA,NA,453.0753933
2012,7,NA,NA,452.7301537
1995,NA,NA,NA,451.4945156
2012,5,23,144,449.9141469
2012,8,2,215,436.9886408
2012,9,NA,NA,422.2680805
2012,9,NA,NA,407.8814888
2012,5,23,144,404.025925
2012,9,NA,NA,398.2178954
2012,9,NA,NA,386.9591634
2012,9,NA,NA,375.0838228
2012,8,NA,NA,374.3004541
2012,7,NA,NA,366.4519725
2012,6,NA,NA,360.1275377
2012,8,NA,NA,348.4682186
2012,9,NA,NA,342.4280809
2012,9,NA,NA,339.8906971
2013,5,16,136,339.5634442
2012,8,2,215,330.1324878
2012,5,23,144,316.5219332
2013,10,2,275,316.0946865
2012,5,23,144,314.9353973
2013,5,16,136,303.1792567
2013,10,2,275,302.4483977
2012,4,20,111,298.4844017
2012,4,20,111,297.1707278
2013,10,2,275,291.4648066
2012,5,23,144,279.3821851
2012,9,NA,NA,277.9827089
2012,8,NA,NA,277.4963294
2013,10,2,275,269.061681
2012,9,26,270,265.752016
2013,5,16,136,262.3072282
2013,8,18,230,262.1280261
2012,9,26,270,259.553106
2012,5,23,144,253.7680824
2012,4,20,111,247.4968133
2013,10,2,275,239.6265024
2012,9,26,270,233.6078853
2012,7,NA,NA,232.051771
2013,4,20,110,232.0209072
2013,5,16,136,229.9807399
2013,10,2,275,227.164291
2012,8,2,215,225.9198524
2012,8,NA,NA,220.2753244
2013,8,18,230,213.7730326
2013,4,20,110,212.5332987
2013,5,16,136,210.4372729
2013,5,16,136,208.7117067
2012,8,2,215,207.8868567
2013,5,16,136,206.2408433
2012,9,26,270,205.0508611
2012,5,23,144,204.5212075
2012,4,20,111,203.460486
2013,10,2,275,202.2446109
2013,5,16,136,201.4531122
2013,10,2,275,198.7183235
2013,10,2,275,194.544343
2013,8,18,230,194.3127154
2012,8,2,215,193.6725086
2012,9,26,270,193.3285393
2012,9,26,270,193.2548408
2012,8,2,215,188.9808105
2013,10,2,275,187.5069086
2013,8,18,230,183.2950009
2013,8,18,230,179.4976388
2012,8,NA,NA,177.810259
2012,8,2,215,177.7001437
2012,5,23,144,173.4827527
2013,4,20,110,171.705631
2013,10,2,275,171.5123202
2013,8,18,230,171.050224
2012,7,NA,NA,171.015039
2012,9,26,270,170.2069851
2012,8,2,215,169.1606501
2013,10,2,275,164.911805
2012,4,20,111,163.8362917
2013,5,16,136,163.6794576
2013,5,16,136,163.4649926
2012,5,23,144,163.0682892
2013,8,18,230,162.0244982
2012,8,2,215,161.9263367
2012,5,23,144,161.125848
2012,9,26,270,160.812024
2012,5,23,144,160.6297043
2012,5,23,144,159.7620267
2013,5,16,136,159.7121553
2013,5,16,136,159.6205084
2013,8,18,230,159.3812421
2012,8,2,215,157.418779
2012,9,26,270,154.5089846
2013,4,20,110,153.6850266
2013,10,2,275,151.947238
2012,9,26,270,149.6091124
2012,9,26,270,149.1221194
2012,4,20,111,148.9434711
2013,8,18,230,148.2792221
2013,4,20,110,146.9306443
2012,9,26,270,146.4961883
2012,4,20,111,144.8268673
2012,8,2,215,141.0047545
2012,8,NA,NA,136.5985764
2012,8,NA,NA,135.7687635
2013,10,2,275,134.6763992
2013,10,2,275,134.5640447
2012,9,26,270,134.0601053
2013,8,18,230,133.3227685
2012,8,2,215,133.125366
2012,8,NA,NA,128.8646593
2012,8,2,215,128.3066884
2012,8,NA,NA,127.6888252
2012,4,20,111,127.6865484
2013,4,20,110,126.2853502
2012,4,20,111,125.7133029
2012,4,20,111,125.5880095
2013,10,2,275,118.7386706
2013,4,20,110,114.5060552
2013,5,16,136,111.6687495
2013,8,18,230,111.4486754
2012,9,26,270,111.1076512
2013,8,18,230,111.0796957
2012,5,23,144,108.3358389
2013,4,20,110,107.8391365
2012,8,NA,NA,107.5299088
2013,8,18,230,107.2818328
2013,4,20,110,104.8252558
2012,4,20,111,104.1479394
2012,8,NA,NA,103.7686894
2013,4,20,110,102.4519393
2012,8,NA,NA,102.3611424
2013,4,20,110,100.8431195
2012,4,20,111,97.40410512
2013,8,18,230,95.23525933
2012,5,23,144,95.14546966
2013,5,16,136,95.13607143
2013,10,2,275,94.73337249
2012,9,26,270,94.2996001
2012,9,26,270,94.29055704
2012,4,20,111,94.09283863
2012,5,23,144,92.77388017
2013,4,20,110,92.35916404
2013,8,18,230,91.83363668
2012,8,2,215,91.08220943
2013,4,20,110,87.75947523
2012,8,2,215,87.42387885
2012,4,20,111,86.71794207
2013,8,18,230,84.95901302
2013,4,20,110,83.79054891
2012,4,20,111,82.96769218
2013,8,18,230,82.54170408
2012,8,NA,NA,81.81139659
2012,4,20,111,78.12418778
2012,8,2,215,74.59662075
2012,8,2,215,72.54604039
2013,5,16,136,70.12595587
2013,8,18,230,70.1210745
2013,4,20,110,67.98026122
2013,10,2,275,63.4094292
2012,4,20,111,62.6770735
2012,9,26,270,57.74519521
2012,9,26,270,56.65231192
2013,4,20,110,54.784048
2013,4,20,110,54.0714012
2012,8,NA,NA,53.8415148
2013,5,16,136,51.31190969
2013,5,16,136,48.76271105
2012,4,20,111,45.77549045
2012,8,2,215,37.26971616
2011,9,26,269,33.70606946
2011,9,26,269,31.32757502
2013,4,20,110,30.9274687
2011,9,26,269,30.45174704
2011,9,26,269,29.86206216
2011,9,26,269,27.96291431
2011,9,26,269,25.74352562
2011,9,26,269,23.8049817
2011,7,25,206,21.64462009
2011,9,26,269,20.03621704
2011,9,26,269,19.29734765
2011,7,25,206,18.19465186
2013,5,16,136,17.81895567
2011,7,25,206,16.77817738
2011,7,25,206,16.30577201
2011,9,26,269,15.93802987
2011,7,25,206,15.64054813
2011,7,25,206,15.53523956
2011,7,25,206,14.4198586
2011,7,25,206,13.92446333
2011,7,25,206,11.60915792
2011,7,25,206,11.36665155
2012,8,NA,NA,9.968223991
1995,NA,NA,NA,8.482354471
