DOY,hour,SoilT,SoilM,flux,time
113,0,7.1,0.227,NA,113
113,1,7.1,0.227,NA,113.0208333
113,10,7.0375,0.226875,0.0004251,113.2083333
113,11,7.1875,0.226375,NA,113.2291667
113,12,7.25,0.226,0.0001863,113.25
113,13,7.05,0.226,0.000268,113.2708333
113,14,6.988461538,0.225653846,NA,113.2916667
113,15,6.973076923,0.225192308,NA,113.3125
113,16,6.957692308,0.224730769,NA,113.3333333
113,17,6.942307692,0.224269231,NA,113.3541667
113,18,6.926923077,0.223807692,NA,113.375
113,19,6.911538462,0.223346154,NA,113.3958333
113,2,7.1,0.227,NA,113.0416667
113,20,6.85,0.223,0.0002216,113.4166667
113,21,6.65,0.223,0.0003741,113.4375
113,22,6.475,0.2229375,0.000242,113.4583333
113,23,6.375,0.2226875,NA,113.4791667
113,3,7.1,0.227,NA,113.0625
113,4,7.1,0.227,NA,113.0833333
113,5,7.1,0.227,NA,113.1041667
113,6,7.1,0.227,NA,113.125
113,7,7.1,0.227,NA,113.1458333
113,8,7.1,0.227,NA,113.1666667
113,9,7.1,0.227,0.0001799,113.1875
114,0,6.275,0.2224375,NA,114
114,1,6.175,0.2221875,NA,114.0208333
114,10,7.6,0.221,NA,114.2083333
114,11,8,0.221,0.000244,114.2291667
114,12,8,0.221,0.0003125,114.25
114,13,7.75,0.221,0.0005171,114.2708333
114,14,8.35,0.221,0.0003381,114.2916667
114,15,8,0.221,0.0003484,114.3125
114,16,8.05,0.22,0.000413,114.3333333
114,17,8.2,0.22,0.0004388,114.3541667
114,18,8.3,0.22,0.00034695,114.375
114,19,8.2,0.22,0.0002925,114.3958333
114,2,6.075,0.222,0.0002942,114.0416667
114,20,8,0.22,0.0003326,114.4166667
114,21,7.95,0.219,0.0002695,114.4375
114,22,7.65,0.219,0.000199,114.4583333
114,23,7.75,0.219,0.0002193,114.4791667
114,3,5.975,0.222,0.000208,114.0625
114,4,5.9,0.222,0.0002882,114.0833333
114,5,6.05,0.221,0.000358,114.1041667
114,6,6.19,0.221,NA,114.125
114,7,6.31,0.221,NA,114.1458333
114,8,6.533333333,0.221,0.0001548,114.1666667
114,9,7.066666667,0.221,NA,114.1875
115,0,7.65,0.219,NA,115
115,1,7.575,0.219,0.0002541,115.0208333
115,10,8.9,0.218,0.0005868,115.2083333
115,11,9.533333333,0.218,0.0013428,115.2291667
115,12,9.666666667,0.218,0.0003875,115.25
115,13,9.4,0.218,0.0002934,115.2708333
115,14,10.05,0.218,0.0008949,115.2916667
115,15,9.9,0.218,0.00052205,115.3125
115,16,9.85,0.218,0.0004574,115.3333333
115,17,10.05,0.218,0.00077845,115.3541667
115,18,10.1,0.218,0.00040225,115.375
115,19,10.05,0.218,0.0005457,115.3958333
115,2,7.5,0.219,0.00027055,115.0416667
115,20,9.983333333,0.217833333,0.0004985,115.4166667
115,21,9.916666667,0.217166667,0.0004914,115.4375
115,22,9.85,0.217,0.0003062,115.4583333
115,23,9.8,0.217,0.0004023,115.4791667
115,3,7.3,0.219,0.00029755,115.0625
115,4,7.25,0.219,0.0002066,115.0833333
