#,Species,Plot #,Substrate,Date (mmmdd) ,substrate (um),Activity (umol g-1 hr-1),activity/[S]
1,FRAM,1,AP ,1-Mar,6,0.18482,0.0308
361,FRAM,1,AP ,1-Mar,30,0.38716,0.0129
721,FRAM,1,AP ,1-Mar,60,0.55116,0.0092
1081,FRAM,1,AP ,1-Mar,100,0.65619,0.0066
1441,FRAM,1,AP ,1-Mar,160,0.95801,0.006
1801,FRAM,1,AP ,1-Mar,250,1.1679,0.0047
2161,FRAM,1,AP ,1-Mar,500,1.1072,0.0022
2521,FRAM,1,AP ,1-Mar,750,0.92305,0.0012
2881,FRAM,1,AP ,1-Mar,1000,0.81351,0.0008
2,FRAM,2,AP ,1-Mar,6,0.24762,0.0413
362,FRAM,2,AP ,1-Mar,30,0.63799,0.0213
722,FRAM,2,AP ,1-Mar,60,1.0199,0.017
1082,FRAM,2,AP ,1-Mar,100,1.084,0.0108
1442,FRAM,2,AP ,1-Mar,160,1.5973,0.01
1802,FRAM,2,AP ,1-Mar,250,2.0492,0.0082
2162,FRAM,2,AP ,1-Mar,500,1.9221,0.0038
2522,FRAM,2,AP ,1-Mar,750,1.9534,0.0026
2882,FRAM,2,AP ,1-Mar,1000,1.6065,0.0016
3,FRAM,3,AP ,1-Mar,6,0.21211,0.0354
363,FRAM,3,AP ,1-Mar,30,0.55561,0.0185
723,FRAM,3,AP ,1-Mar,60,0.80215,0.0134
1083,FRAM,3,AP ,1-Mar,100,0.95469,0.0095
1443,FRAM,3,AP ,1-Mar,160,1.1846,0.0074
1803,FRAM,3,AP ,1-Mar,250,1.3051,0.0052
2163,FRAM,3,AP ,1-Mar,500,1.5639,0.0031
2523,FRAM,3,AP ,1-Mar,750,1.6099,0.0021
2883,FRAM,3,AP ,1-Mar,1000,1.8113,0.0018
4,FRAM,4,AP ,1-Mar,6,0.4279,0.0713
364,FRAM,4,AP ,1-Mar,30,1.5625,0.0521
724,FRAM,4,AP ,1-Mar,60,2.7351,0.0456
1084,FRAM,4,AP ,1-Mar,100,3.3367,0.0334
1444,FRAM,4,AP ,1-Mar,160,4.464,0.0279
1804,FRAM,4,AP ,1-Mar,250,5.9501,0.0238
2164,FRAM,4,AP ,1-Mar,500,7.5545,0.0151
2524,FRAM,4,AP ,1-Mar,750,7.6396,0.0102
2884,FRAM,4,AP ,1-Mar,1000,8.6024,0.0086
5,FRAM,5,AP ,1-Mar,6,0.35999,0.06
365,FRAM,5,AP ,1-Mar,30,1.2282,0.0409
725,FRAM,5,AP ,1-Mar,60,2.1955,0.0366
1085,FRAM,5,AP ,1-Mar,100,2.3026,0.023
1445,FRAM,5,AP ,1-Mar,160,3.2354,0.0202
1805,FRAM,5,AP ,1-Mar,250,4.2945,0.0172
2165,FRAM,5,AP ,1-Mar,500,4.9165,0.0098
2525,FRAM,5,AP ,1-Mar,750,5.3515,0.0071
2885,FRAM,5,AP ,1-Mar,1000,5.3678,0.0054
6,FRAM,6,AP ,1-Mar,6,0.29734,0.0496
366,FRAM,6,AP ,1-Mar,30,0.96401,0.0321
726,FRAM,6,AP ,1-Mar,60,1.5303,0.0255
1086,FRAM,6,AP ,1-Mar,100,1.5731,0.0157
1446,FRAM,6,AP ,1-Mar,160,2.0036,0.0125
1806,FRAM,6,AP ,1-Mar,250,2.4155,0.0097
2166,FRAM,6,AP ,1-Mar,500,2.5321,0.0051
2526,FRAM,6,AP ,1-Mar,750,2.4156,0.0032
2886,FRAM,6,AP ,1-Mar,1000,2.543,0.0025
7,QURU,1,AP ,1-Mar,6,0.15057,0.0251
367,QURU,1,AP ,1-Mar,30,0.36751,0.0123
727,QURU,1,AP ,1-Mar,60,0.47722,0.008
1087,QURU,1,AP ,1-Mar,100,0.64656,0.0065
1447,QURU,1,AP ,1-Mar,160,0.78881,0.0049
1807,QURU,1,AP ,1-Mar,250,0.93051,0.0037
2167,QURU,1,AP ,1-Mar,500,1.0454,0.0021
2527,QURU,1,AP ,1-Mar,750,0.97223,0.0013
2887,QURU,1,AP ,1-Mar,1000,0.93193,0.0009
8,QURU,2,AP ,1-Mar,6,0.13441,0.0224
368,QURU,2,AP ,1-Mar,30,0.36908,0.0123
728,QURU,2,AP ,1-Mar,60,0.49335,0.0082
1088,QURU,2,AP ,1-Mar,100,0.59971,0.006
1448,QURU,2,AP ,1-Mar,160,0.75853,0.0047
1808,QURU,2,AP ,1-Mar,250,0.82332,0.0033
2168,QURU,2,AP ,1-Mar,500,0.80639,0.0016
2528,QURU,2,AP ,1-Mar,750,0.77337,0.001
2888,QURU,2,AP ,1-Mar,1000,0.73001,0.0007
9,QURU,3,AP ,1-Mar,6,0.14698,0.0245
369,QURU,3,AP ,1-Mar,30,0.36413,0.0121
729,QURU,3,AP ,1-Mar,60,0.58777,0.0098
1089,QURU,3,AP ,1-Mar,100,0.58339,0.0058
1449,QURU,3,AP ,1-Mar,160,0.82276,0.0051
1809,QURU,3,AP ,1-Mar,250,1.1248,0.0045
2169,QURU,3,AP ,1-Mar,500,1.0983,0.0022
2529,QURU,3,AP ,1-Mar,750,0.97539,0.0013
2889,QURU,3,AP ,1-Mar,1000,0.92978,0.0009
10,QURU,4,AP ,1-Mar,6,0.21315,0.0355
370,QURU,4,AP ,1-Mar,30,0.61054,0.0204
730,QURU,4,AP ,1-Mar,60,0.90976,0.0152
1090,QURU,4,AP ,1-Mar,100,1.0292,0.0103
1450,QURU,4,AP ,1-Mar,160,1.5168,0.0095
1810,QURU,4,AP ,1-Mar,250,1.9098,0.0076
2170,QURU,4,AP ,1-Mar,500,2.0191,0.004
2530,QURU,4,AP ,1-Mar,750,2.2196,0.003
2890,QURU,4,AP ,1-Mar,1000,2.2061,0.0022
11,QURU,5,AP ,1-Mar,6,0.15159,0.0253
371,QURU,5,AP ,1-Mar,30,0.50502,0.0168
731,QURU,5,AP ,1-Mar,60,0.66292,0.011
1091,QURU,5,AP ,1-Mar,100,0.80495,0.008
1451,QURU,5,AP ,1-Mar,160,0.90228,0.0056
1811,QURU,5,AP ,1-Mar,250,1.1046,0.0044
2171,QURU,5,AP ,1-Mar,500,0.86524,0.0017
2531,QURU,5,AP ,1-Mar,750,0.77671,0.001
2891,QURU,5,AP ,1-Mar,1000,0.67631,0.0007
12,QURU,6,AP ,1-Mar,6,0.16013,0.0267
372,QURU,6,AP ,1-Mar,30,0.57207,0.0191
732,QURU,6,AP ,1-Mar,60,0.72441,0.0121
1092,QURU,6,AP ,1-Mar,100,0.96537,0.0097
1452,QURU,6,AP ,1-Mar,160,1.0582,0.0066
1812,QURU,6,AP ,1-Mar,250,1.044,0.0042
2172,QURU,6,AP ,1-Mar,500,1.0489,0.0021
2532,QURU,6,AP ,1-Mar,750,0.94735,0.0013
2892,QURU,6,AP ,1-Mar,1000,0.69537,0.0007
13,TSCA,1,AP ,1-Mar,6,0.19303,0.0322
373,TSCA,1,AP ,1-Mar,30,0.66602,0.0222
733,TSCA,1,AP ,1-Mar,60,1.0322,0.0172
1093,TSCA,1,AP ,1-Mar,100,1.3919,0.0139
1453,TSCA,1,AP ,1-Mar,160,2.0588,0.0129
1813,TSCA,1,AP ,1-Mar,250,2.815,0.0113
2173,TSCA,1,AP ,1-Mar,500,3.7771,0.0076
2533,TSCA,1,AP ,1-Mar,750,4.635,0.0062
2893,TSCA,1,AP ,1-Mar,1000,4.3195,0.0043
14,TSCA,2,AP ,1-Mar,6,0.15111,0.0252
