species,substrate,concentration,activity
FRAM,AP ,6,0.18482
FRAM,AP ,30,0.38716
FRAM,AP ,60,0.55116
FRAM,AP ,100,0.65619
FRAM,AP ,160,0.95801
FRAM,AP ,250,1.1679
FRAM,AP ,500,1.1072
FRAM,AP ,750,0.92305
FRAM,AP ,1000,0.81351
FRAM,AP ,6,0.24762
FRAM,AP ,30,0.63799
FRAM,AP ,60,1.0199
FRAM,AP ,100,1.084
FRAM,AP ,160,1.5973
FRAM,AP ,250,2.0492
FRAM,AP ,500,1.9221
FRAM,AP ,750,1.9534
FRAM,AP ,1000,1.6065
FRAM,AP ,6,0.21211
FRAM,AP ,30,0.55561
FRAM,AP ,60,0.80215
FRAM,AP ,100,0.95469
FRAM,AP ,160,1.1846
FRAM,AP ,250,1.3051
FRAM,AP ,500,1.5639
FRAM,AP ,750,1.6099
FRAM,AP ,1000,1.8113
FRAM,AP ,6,0.4279
FRAM,AP ,30,1.5625
FRAM,AP ,60,2.7351
FRAM,AP ,100,3.3367
FRAM,AP ,160,4.464
FRAM,AP ,250,5.9501
FRAM,AP ,500,7.5545
FRAM,AP ,750,7.6396
FRAM,AP ,1000,8.6024
FRAM,AP ,6,0.35999
FRAM,AP ,30,1.2282
FRAM,AP ,60,2.1955
FRAM,AP ,100,2.3026
FRAM,AP ,160,3.2354
FRAM,AP ,250,4.2945
FRAM,AP ,500,4.9165
FRAM,AP ,750,5.3515
FRAM,AP ,1000,5.3678
FRAM,AP ,6,0.29734
FRAM,AP ,30,0.96401
FRAM,AP ,60,1.5303
FRAM,AP ,100,1.5731
FRAM,AP ,160,2.0036
FRAM,AP ,250,2.4155
FRAM,AP ,500,2.5321
FRAM,AP ,750,2.4156
FRAM,AP ,1000,2.543
QURU,AP ,6,0.15057
QURU,AP ,30,0.36751
QURU,AP ,60,0.47722
QURU,AP ,100,0.64656
QURU,AP ,160,0.78881
QURU,AP ,250,0.93051
QURU,AP ,500,1.0454
QURU,AP ,750,0.97223
QURU,AP ,1000,0.93193
QURU,AP ,6,0.13441
QURU,AP ,30,0.36908
QURU,AP ,60,0.49335
QURU,AP ,100,0.59971
QURU,AP ,160,0.75853
QURU,AP ,250,0.82332
QURU,AP ,500,0.80639
QURU,AP ,750,0.77337
QURU,AP ,1000,0.73001
QURU,AP ,6,0.14698
QURU,AP ,30,0.36413
QURU,AP ,60,0.58777
QURU,AP ,100,0.58339
QURU,AP ,160,0.82276
QURU,AP ,250,1.1248
QURU,AP ,500,1.0983
QURU,AP ,750,0.97539
QURU,AP ,1000,0.92978
QURU,AP ,6,0.21315
QURU,AP ,30,0.61054
QURU,AP ,60,0.90976
QURU,AP ,100,1.0292
QURU,AP ,160,1.5168
QURU,AP ,250,1.9098
QURU,AP ,500,2.0191
QURU,AP ,750,2.2196
QURU,AP ,1000,2.2061
QURU,AP ,6,0.15159
QURU,AP ,30,0.50502
QURU,AP ,60,0.66292
QURU,AP ,100,0.80495
QURU,AP ,160,0.90228
QURU,AP ,250,1.1046
QURU,AP ,500,0.86524
QURU,AP ,750,0.77671
QURU,AP ,1000,0.67631
QURU,AP ,6,0.16013
QURU,AP ,30,0.57207
QURU,AP ,60,0.72441
QURU,AP ,100,0.96537
QURU,AP ,160,1.0582
QURU,AP ,250,1.044
QURU,AP ,500,1.0489
QURU,AP ,750,0.94735
QURU,AP ,1000,0.69537
TSCA,AP ,6,0.19303
TSCA,AP ,30,0.66602
TSCA,AP ,60,1.0322
TSCA,AP ,100,1.3919
TSCA,AP ,160,2.0588
TSCA,AP ,250,2.815
TSCA,AP ,500,3.7771
TSCA,AP ,750,4.635
TSCA,AP ,1000,4.3195
TSCA,AP ,6,0.15111
TSCA,AP ,30,0.36272
TSCA,AP ,60,0.4837
TSCA,AP ,100,0.51823
TSCA,AP ,160,0.7144
TSCA,AP ,250,0.82993
TSCA,AP ,500,0.84903
TSCA,AP ,750,1.0256
TSCA,AP ,1000,0.77762
TSCA,AP ,6,0.1285
TSCA,AP ,30,0.31469
TSCA,AP ,60,0.43063
TSCA,AP ,100,0.58217
TSCA,AP ,160,0.79007
TSCA,AP ,250,0.95616
TSCA,AP ,500,1.1089
TSCA,AP ,750,1.2537
TSCA,AP ,1000,1.1452
TSCA,AP ,6,0.15997
TSCA,AP ,30,0.53541
TSCA,AP ,60,0.82977
TSCA,AP ,100,0.93224
TSCA,AP ,160,1.214
TSCA,AP ,250,1.4967
TSCA,AP ,500,1.4917
TSCA,AP ,750,1.8371
TSCA,AP ,1000,1.367
TSCA,AP ,6,0.19006
TSCA,AP ,30,0.5908
TSCA,AP ,60,0.91064
TSCA,AP ,100,1.1485
TSCA,AP ,160,1.4459
TSCA,AP ,250,1.1562
TSCA,AP ,500,1.2336
TSCA,AP ,750,1.3166
TSCA,AP ,1000,1.2694
TSCA,AP ,6,0.14537
TSCA,AP ,30,0.44694
TSCA,AP ,60,0.54519
TSCA,AP ,100,0.49786
TSCA,AP ,160,0.66405
TSCA,AP ,250,0.70971
TSCA,AP ,500,0.92464
TSCA,AP ,750,0.99059
TSCA,AP ,1000,0.98582
FRAM,AP ,6,0.26295
FRAM,AP ,30,0.96295
FRAM,AP ,60,1.4393
FRAM,AP ,100,1.6701
FRAM,AP ,160,2.0496
FRAM,AP ,250,2.85
FRAM,AP ,500,3.6848
FRAM,AP ,750,3.6134
FRAM,AP ,1000,4.6115
FRAM,AP ,6,0.26093
FRAM,AP ,30,0.88043
FRAM,AP ,60,1.1714
FRAM,AP ,100,1.5722
FRAM,AP ,160,1.991
FRAM,AP ,250,2.6085
FRAM,AP ,500,2.4553
FRAM,AP ,750,2.4485
FRAM,AP ,1000,2.9587
FRAM,AP ,6,0.25015
FRAM,AP ,30,0.91887
FRAM,AP ,60,1.5544
FRAM,AP ,100,1.8095
FRAM,AP ,160,2.3117
FRAM,AP ,250,2.1169
FRAM,AP ,500,3.0207
FRAM,AP ,750,3.0153
FRAM,AP ,1000,3.0278
FRAM,AP ,6,0.24637
FRAM,AP ,30,0.64268
FRAM,AP ,60,0.98247
FRAM,AP ,100,1.1078
FRAM,AP ,160,1.5385
FRAM,AP ,250,1.5253
FRAM,AP ,500,1.7955
FRAM,AP ,750,1.4532
FRAM,AP ,1000,1.3926
FRAM,AP ,6,0.28974
FRAM,AP ,30,1.1544
FRAM,AP ,60,1.7353
FRAM,AP ,100,2.3553
FRAM,AP ,160,3.2573
FRAM,AP ,250,3.8233
FRAM,AP ,500,4.1828
FRAM,AP ,750,4.1725
FRAM,AP ,1000,4.0913
FRAM,AP ,6,0.3569
FRAM,AP ,30,1.1601
FRAM,AP ,60,2.2151
FRAM,AP ,100,3.0143
FRAM,AP ,160,3.9108
FRAM,AP ,250,5.7456
FRAM,AP ,500,4.9919
FRAM,AP ,750,5.8351
FRAM,AP ,1000,4.7883
QURU,AP ,6,0.32721
QURU,AP ,30,0.98003
QURU,AP ,60,1.7425
QURU,AP ,100,2.2513
QURU,AP ,160,3.0646
QURU,AP ,250,3.4528
QURU,AP ,500,3.9428
QURU,AP ,750,3.5556
QURU,AP ,1000,4.7702
QURU,AP ,6,0.19923
QURU,AP ,30,0.5064
QURU,AP ,60,0.74921
QURU,AP ,100,1.102
QURU,AP ,160,1.3282
QURU,AP ,250,1.4431
QURU,AP ,500,1.5587
QURU,AP ,750,1.8206
QURU,AP ,1000,1.4152
QURU,AP ,6,0.26314
QURU,AP ,30,0.83807
QURU,AP ,60,1.2235
QURU,AP ,100,1.5175
QURU,AP ,160,2.0177
QURU,AP ,250,2.1909
QURU,AP ,500,2.2252
QURU,AP ,750,2.3037
QURU,AP ,1000,1.8166
QURU,AP ,6,0.24493
QURU,AP ,30,0.96643
QURU,AP ,60,1.6601
QURU,AP ,100,2.1176
QURU,AP ,160,2.9709
QURU,AP ,250,3.255
QURU,AP ,500,3.6826
QURU,AP ,750,4.1264
QURU,AP ,1000,4.0333
QURU,AP ,6,0.50745
QURU,AP ,30,0.82076
QURU,AP ,60,1.4656
QURU,AP ,100,1.5769
QURU,AP ,160,1.8371
QURU,AP ,250,2.5769
QURU,AP ,500,2.7371
QURU,AP ,750,2.199
QURU,AP ,1000,2.1973
QURU,AP ,6,0.35233
QURU,AP ,30,0.55871
QURU,AP ,60,0.98383
QURU,AP ,100,1.0244
QURU,AP ,160,1.4043
QURU,AP ,250,1.6288
QURU,AP ,500,1.5602
QURU,AP ,750,1.5031
QURU,AP ,1000,1.8042
TSCA,AP ,6,0.14632
TSCA,AP ,30,0.62438
TSCA,AP ,60,0.7083
TSCA,AP ,100,0.86708
TSCA,AP ,160,1.1924
TSCA,AP ,250,1.4031
TSCA,AP ,500,1.4743
TSCA,AP ,750,1.6177
TSCA,AP ,1000,1.526
TSCA,AP ,6,0.13289
TSCA,AP ,30,0.50126
TSCA,AP ,60,0.78051
TSCA,AP ,100,1.2533
TSCA,AP ,160,1.3927
TSCA,AP ,250,1.875
TSCA,AP ,500,2.2826
TSCA,AP ,750,2.7102
TSCA,AP ,1000,1.5175
TSCA,AP ,6,0.22775
TSCA,AP ,30,0.68086
TSCA,AP ,60,1.0096
TSCA,AP ,100,1.2575
TSCA,AP ,160,1.6475
TSCA,AP ,250,1.7622
TSCA,AP ,500,1.8517
TSCA,AP ,750,1.6559
TSCA,AP ,1000,1.4761
TSCA,AP ,6,0.29477
TSCA,AP ,30,0.99909
TSCA,AP ,60,1.9687
TSCA,AP ,100,2.3479
TSCA,AP ,160,3.1421
TSCA,AP ,250,3.3954
TSCA,AP ,500,3.9355
TSCA,AP ,750,3.8738
TSCA,AP ,1000,4.6087
TSCA,AP ,6,0.25892
TSCA,AP ,30,0.87593
TSCA,AP ,60,1.4409
TSCA,AP ,100,1.7807
TSCA,AP ,160,2.0632
TSCA,AP ,250,2.7277
TSCA,AP ,500,3.5925
TSCA,AP ,750,3.1146
TSCA,AP ,1000,5.4889
TSCA,AP ,6,0.27791
TSCA,AP ,30,0.85849
TSCA,AP ,60,1.1676
TSCA,AP ,100,1.7154
TSCA,AP ,160,2.0491
TSCA,AP ,250,2.6585
TSCA,AP ,500,3.8928
TSCA,AP ,750,5.2336
TSCA,AP ,1000,5.9511
FRAM,AP ,6,0.2807
FRAM,AP ,30,0.94581
FRAM,AP ,60,1.3956
FRAM,AP ,100,1.6726
FRAM,AP ,160,2.2583
FRAM,AP ,250,2.55
FRAM,AP ,500,3.0076
FRAM,AP ,750,2.6714
FRAM,AP ,1000,2.7069
FRAM,AP ,6,0.31517
FRAM,AP ,30,1.0437
FRAM,AP ,60,1.4979
FRAM,AP ,100,1.9835
FRAM,AP ,160,2.0371
FRAM,AP ,250,2.5088
FRAM,AP ,500,3.0174
FRAM,AP ,750,2.5715
FRAM,AP ,1000,2.5271
FRAM,AP ,6,0.24307
FRAM,AP ,30,0.9031
FRAM,AP ,60,1.2345
FRAM,AP ,100,1.4232
FRAM,AP ,160,1.7988
FRAM,AP ,250,1.9828
FRAM,AP ,500,2.5255
FRAM,AP ,750,2.4932
FRAM,AP ,1000,2.185
FRAM,AP ,6,0.24952
FRAM,AP ,30,0.94235
FRAM,AP ,60,1.4441
FRAM,AP ,100,2.0325
FRAM,AP ,160,2.7459
FRAM,AP ,250,3.3228
FRAM,AP ,500,3.6236
FRAM,AP ,750,4.2617
FRAM,AP ,1000,3.9129
FRAM,AP ,6,0.31641
FRAM,AP ,30,1.0693
FRAM,AP ,60,1.7103
FRAM,AP ,100,2.029
FRAM,AP ,160,2.4923
FRAM,AP ,250,3.1199
FRAM,AP ,500,3.5327
FRAM,AP ,750,3.626
FRAM,AP ,1000,3.4757
FRAM,AP ,6,0.3372
FRAM,AP ,30,1.3192
FRAM,AP ,60,2.1913
FRAM,AP ,100,3.1654
FRAM,AP ,160,3.7852
FRAM,AP ,250,4.4919
FRAM,AP ,500,5.1688
FRAM,AP ,750,5.4428
FRAM,AP ,1000,5.303
QURU,AP ,6,0.21425
QURU,AP ,30,0.9973
QURU,AP ,60,2.013
QURU,AP ,100,2.71
QURU,AP ,160,2.8399
QURU,AP ,250,3.3995
QURU,AP ,500,4.5737
QURU,AP ,750,4.0063
QURU,AP ,1000,3.8467
QURU,AP ,6,0.15261
QURU,AP ,30,0.46499
QURU,AP ,60,0.82305
QURU,AP ,100,0.86729
QURU,AP ,160,1.2012
QURU,AP ,250,1.5339
QURU,AP ,500,1.5852
QURU,AP ,750,1.403
QURU,AP ,1000,1.6078
QURU,AP ,6,0.2012
QURU,AP ,30,0.50318
QURU,AP ,60,0.79458
QURU,AP ,100,0.87659
QURU,AP ,160,1.1127
QURU,AP ,250,1.3185
QURU,AP ,500,1.3123
QURU,AP ,750,1.3776
QURU,AP ,1000,1.2118
QURU,AP ,6,0.21537
QURU,AP ,30,0.82967
QURU,AP ,60,1.4002
QURU,AP ,100,1.6643
QURU,AP ,160,2.2044
QURU,AP ,250,1.945
QURU,AP ,500,2.7594
QURU,AP ,750,3.0391
QURU,AP ,1000,2.6228
QURU,AP ,6,0.23182
QURU,AP ,30,0.80853
QURU,AP ,60,1.231
QURU,AP ,100,1.7248
QURU,AP ,160,2.2713
QURU,AP ,250,2.1723
QURU,AP ,500,2.5812
QURU,AP ,750,1.935
QURU,AP ,1000,2.1305
QURU,AP ,6,0.21139
QURU,AP ,30,0.75593
QURU,AP ,60,0.98446
QURU,AP ,100,1.3974
QURU,AP ,160,1.6405
QURU,AP ,250,1.5261
QURU,AP ,500,1.9951
QURU,AP ,750,1.6943
QURU,AP ,1000,1.6192
TSCA,AP ,6,0.20515
TSCA,AP ,30,0.79222
TSCA,AP ,60,1.17
TSCA,AP ,100,1.5909
TSCA,AP ,160,1.9629
TSCA,AP ,250,2.1537
TSCA,AP ,500,2.859
TSCA,AP ,750,3.0199
TSCA,AP ,1000,2.8991
TSCA,AP ,6,0.13544
TSCA,AP ,30,0.51813
TSCA,AP ,60,0.87704
TSCA,AP ,100,1.0904
TSCA,AP ,160,1.5029
TSCA,AP ,250,1.7626
TSCA,AP ,500,2.222
TSCA,AP ,750,2.3019
TSCA,AP ,1000,2.6901
TSCA,AP ,6,0.15724
TSCA,AP ,30,0.42594
TSCA,AP ,60,0.5118
TSCA,AP ,100,0.78937
TSCA,AP ,160,0.90603
TSCA,AP ,250,1.0763
TSCA,AP ,500,1.2113
TSCA,AP ,750,1.2871
TSCA,AP ,1000,1.2302
TSCA,AP ,6,0.16031
TSCA,AP ,30,0.45909
TSCA,AP ,60,0.6856
TSCA,AP ,100,0.87103
TSCA,AP ,160,1.0066
TSCA,AP ,250,1.2691
TSCA,AP ,500,1.3515
TSCA,AP ,750,1.2845
TSCA,AP ,1000,0.98942
TSCA,AP ,6,0.24937
TSCA,AP ,30,0.93927
TSCA,AP ,60,1.5167
TSCA,AP ,100,2.2036
TSCA,AP ,160,2.5441
TSCA,AP ,250,3.0465
TSCA,AP ,500,2.9531
TSCA,AP ,750,3.0219
TSCA,AP ,1000,3.002
TSCA,AP ,6,0.19517
TSCA,AP ,30,0.66057
TSCA,AP ,60,0.92759
TSCA,AP ,100,1.231
TSCA,AP ,160,1.3141
TSCA,AP ,250,1.4902
TSCA,AP ,500,1.7223
TSCA,AP ,750,2.0439
TSCA,AP ,1000,1.5213
FRAM,AP ,6,0.16422
FRAM,AP ,30,0.51478
FRAM,AP ,60,0.76081
FRAM,AP ,100,0.71803
FRAM,AP ,160,1.0339
FRAM,AP ,250,1.0507
FRAM,AP ,500,1.1038
FRAM,AP ,750,0.65024
FRAM,AP ,1000,0.71405
FRAM,AP ,6,0.19645
FRAM,AP ,30,0.6603
FRAM,AP ,60,0.97682
FRAM,AP ,100,1.0504
FRAM,AP ,160,1.3659
FRAM,AP ,250,1.4138
FRAM,AP ,500,1.4883
FRAM,AP ,750,1.2749
FRAM,AP ,1000,1.0886
FRAM,AP ,6,0.3179
FRAM,AP ,30,0.91978
FRAM,AP ,60,1.3556
FRAM,AP ,100,1.7594
FRAM,AP ,160,2.485
FRAM,AP ,250,2.9339
FRAM,AP ,500,3.3992
FRAM,AP ,750,3.3531
FRAM,AP ,1000,4.0797
FRAM,AP ,6,0.30908
FRAM,AP ,30,0.92422
FRAM,AP ,60,1.4566
FRAM,AP ,100,1.7918
FRAM,AP ,160,2.1726
FRAM,AP ,250,2.5454
FRAM,AP ,500,3.1655
FRAM,AP ,750,2.832
FRAM,AP ,1000,2.8819
FRAM,AP ,6,0.20806
FRAM,AP ,30,0.58291
FRAM,AP ,60,0.81834
FRAM,AP ,100,0.98124
FRAM,AP ,160,1.139
FRAM,AP ,250,1.1587
FRAM,AP ,500,1.2334
FRAM,AP ,750,1.3862
FRAM,AP ,1000,1.1872
FRAM,AP ,6,0.26447
FRAM,AP ,30,0.97267
FRAM,AP ,60,1.436
FRAM,AP ,100,1.831
FRAM,AP ,160,2.4545
FRAM,AP ,250,2.5922
FRAM,AP ,500,2.9708
FRAM,AP ,750,2.5002
FRAM,AP ,1000,2.4977
QURU,AP ,6,0.20659
QURU,AP ,30,0.6916
QURU,AP ,60,0.87893
QURU,AP ,100,1.0169
QURU,AP ,160,1.2022
QURU,AP ,250,1.3517
QURU,AP ,500,1.443
QURU,AP ,750,1.8121
QURU,AP ,1000,1.6957
QURU,AP ,6,0.23637
QURU,AP ,30,0.96486
QURU,AP ,60,1.2789
QURU,AP ,100,1.8823
QURU,AP ,160,2.097
QURU,AP ,250,2.6199
QURU,AP ,500,3.056
QURU,AP ,750,3.0921
QURU,AP ,1000,3.298
QURU,AP ,6,0.21137
QURU,AP ,30,0.70448
QURU,AP ,60,1.2248
QURU,AP ,100,1.9049
QURU,AP ,160,2.2694
QURU,AP ,250,2.8008
QURU,AP ,500,2.7153
QURU,AP ,750,3.3151
QURU,AP ,1000,3.9277
QURU,AP ,6,0.19308
QURU,AP ,30,0.81171
QURU,AP ,60,1.3977
QURU,AP ,100,1.8234
QURU,AP ,160,2.2907
QURU,AP ,250,2.6056
QURU,AP ,500,3.1461
QURU,AP ,750,3.1086
QURU,AP ,1000,3.171
QURU,AP ,6,0.19607
QURU,AP ,30,0.74155
QURU,AP ,60,1.1924
QURU,AP ,100,1.4429
QURU,AP ,160,1.6473
QURU,AP ,250,1.6099
QURU,AP ,500,1.8671
QURU,AP ,750,1.9773
QURU,AP ,1000,2.2712
QURU,AP ,6,0.16624
QURU,AP ,30,0.47129
QURU,AP ,60,0.78912
QURU,AP ,100,0.93102
QURU,AP ,160,0.97708
QURU,AP ,250,1.4211
QURU,AP ,500,1.3519
QURU,AP ,750,1.5933
QURU,AP ,1000,1.2849
TSCA,AP ,6,0.17907
TSCA,AP ,30,0.62368
TSCA,AP ,60,0.71444
TSCA,AP ,100,1.2022
TSCA,AP ,160,1.7527
TSCA,AP ,250,1.7673
TSCA,AP ,500,1.8207
TSCA,AP ,750,2.1257
TSCA,AP ,1000,2.0704
TSCA,AP ,6,0.15937
TSCA,AP ,30,0.45142
TSCA,AP ,60,0.70972
TSCA,AP ,100,0.94521
TSCA,AP ,160,1.3694
TSCA,AP ,250,1.7763
TSCA,AP ,500,2.0635
TSCA,AP ,750,3.2835
TSCA,AP ,1000,2.6948
TSCA,AP ,6,0.13389
TSCA,AP ,30,0.47515
TSCA,AP ,60,0.73742
TSCA,AP ,100,1.0316
TSCA,AP ,160,1.0517
TSCA,AP ,250,1.3531
TSCA,AP ,500,1.7192
TSCA,AP ,750,1.9325
TSCA,AP ,1000,1.9971
TSCA,AP ,6,0.20738
TSCA,AP ,30,0.74456
TSCA,AP ,60,1.1779
TSCA,AP ,100,1.5023
TSCA,AP ,160,1.7381
TSCA,AP ,250,1.9741
TSCA,AP ,500,2.5976
TSCA,AP ,750,2.2206
TSCA,AP ,1000,2.7037
TSCA,AP ,6,0.26778
TSCA,AP ,30,1.0119
TSCA,AP ,60,1.5796
TSCA,AP ,100,2.0654
TSCA,AP ,160,2.5361
TSCA,AP ,250,3.2949
TSCA,AP ,500,3.9425
TSCA,AP ,750,3.9764
TSCA,AP ,1000,4.0405
TSCA,AP ,6,0.42527
TSCA,AP ,30,1.4673
TSCA,AP ,60,2.3666
TSCA,AP ,100,3.5238
TSCA,AP ,160,4.7425
TSCA,AP ,250,5.766
TSCA,AP ,500,7.3737
TSCA,AP ,750,9.2592
TSCA,AP ,1000,8.3344
QURU,AP ,6,0.16768
QURU,AP ,30,0.65858
QURU,AP ,60,1.031
QURU,AP ,100,1.4114
QURU,AP ,160,1.749
QURU,AP ,250,1.9476
QURU,AP ,500,2.1211
QURU,AP ,750,2.2706
QURU,AP ,1000,1.9844
QURU,AP ,6,0.12992
QURU,AP ,30,0.46466
QURU,AP ,60,0.69625
QURU,AP ,100,0.87965
QURU,AP ,160,1.0949
QURU,AP ,250,1.2259
QURU,AP ,500,1.3584
QURU,AP ,750,1.4944
QURU,AP ,1000,1.6767
QURU,AP ,6,0.088207
QURU,AP ,30,0.32016
QURU,AP ,60,0.36538
QURU,AP ,100,0.68118
QURU,AP ,160,0.70495
QURU,AP ,250,0.95449
QURU,AP ,500,0.69738
QURU,AP ,750,0.68942
QURU,AP ,1000,0.77566
QURU,AP ,6,0.11767
QURU,AP ,30,0.43073
QURU,AP ,60,0.81555
QURU,AP ,100,1.0424
QURU,AP ,160,1.3761
QURU,AP ,250,1.7335
QURU,AP ,500,1.9567
QURU,AP ,750,1.9064
QURU,AP ,1000,2.0889
QURU,AP ,6,0.15549
QURU,AP ,30,0.63335
QURU,AP ,60,1.0928
QURU,AP ,100,1.4888
QURU,AP ,160,1.8266
QURU,AP ,250,2.0779
QURU,AP ,500,2.5074
QURU,AP ,750,2.3029
QURU,AP ,1000,2.6308
QURU,AP ,6,0.1337
QURU,AP ,30,0.58335
QURU,AP ,60,0.92638
QURU,AP ,100,1.1077
QURU,AP ,160,1.5795
QURU,AP ,250,1.694
QURU,AP ,500,1.9172
QURU,AP ,750,1.7905
QURU,AP ,1000,2.1571
TSCA,AP ,6,0.081564
TSCA,AP ,30,0.29141
TSCA,AP ,60,0.38974
TSCA,AP ,100,0.49108
TSCA,AP ,160,0.59475
TSCA,AP ,250,NaN
TSCA,AP ,500,NaN
TSCA,AP ,750,NaN
TSCA,AP ,1000,NaN
TSCA,AP ,6,0.080842
TSCA,AP ,30,0.31499
TSCA,AP ,60,0.57519
TSCA,AP ,100,0.70702
TSCA,AP ,160,0.82968
TSCA,AP ,250,NaN
TSCA,AP ,500,NaN
TSCA,AP ,750,NaN
TSCA,AP ,1000,NaN
TSCA,AP ,6,0.149
TSCA,AP ,30,0.50669
TSCA,AP ,60,0.74884
TSCA,AP ,100,0.95275
TSCA,AP ,160,1.2732
TSCA,AP ,250,1.3245
TSCA,AP ,500,1.5504
TSCA,AP ,750,1.9206
TSCA,AP ,1000,1.7137
TSCA,AP ,6,0.12034
TSCA,AP ,30,0.45871
TSCA,AP ,60,0.63188
TSCA,AP ,100,0.75306
TSCA,AP ,160,1.0531
TSCA,AP ,250,1.1344
TSCA,AP ,500,1.3136
TSCA,AP ,750,1.2307
TSCA,AP ,1000,1.4649
TSCA,AP ,6,0.12527
TSCA,AP ,30,0.33075
TSCA,AP ,60,0.61276
TSCA,AP ,100,0.88008
TSCA,AP ,160,1.1842
TSCA,AP ,250,1.2049
TSCA,AP ,500,1.3232
TSCA,AP ,750,1.284
TSCA,AP ,1000,1.5079
TSCA,AP ,6,0.15206
TSCA,AP ,30,0.5199
TSCA,AP ,60,0.66602
TSCA,AP ,100,0.995
TSCA,AP ,160,1.2965
TSCA,AP ,250,1.476
TSCA,AP ,500,1.6597
TSCA,AP ,750,1.867
TSCA,AP ,1000,1.6025
FRAM,AP ,6,0.12876
FRAM,AP ,30,0.34437
FRAM,AP ,60,0.44454
FRAM,AP ,100,0.5204
FRAM,AP ,160,0.56753
FRAM,AP ,250,0.65843
FRAM,AP ,500,0.7173
FRAM,AP ,750,0.71418
FRAM,AP ,1000,0.81811
FRAM,AP ,6,0.14045
FRAM,AP ,30,0.40317
FRAM,AP ,60,0.56547
FRAM,AP ,100,0.59482
FRAM,AP ,160,0.75259
FRAM,AP ,250,0.72931
FRAM,AP ,500,0.79738
FRAM,AP ,750,0.82056
FRAM,AP ,1000,0.8855
FRAM,AP ,6,0.15483
FRAM,AP ,30,0.50531
FRAM,AP ,60,0.71458
FRAM,AP ,100,0.87834
FRAM,AP ,160,0.98725
FRAM,AP ,250,1.0132
